Iteration,SPSA,ADAM,COBYLA,GD
0,0.993063106198659,0.9999417843595525,0.9832554063761262,0.976845944116444
1,0.9786319272785237,0.9999417843593608,0.9633821350931822,0.9765497110492941
2,0.9806441464656677,0.9999417843596217,0.9491283132376608,0.977068033435528
3,0.9873155793985279,0.9999417843596439,0.9248548009494549,0.9768516428841717
4,0.9845089455044281,0.9999417843590422,0.8504455726833542,0.9765145195573297
5,0.9885059132985251,0.9999417843596702,0.9731493037213411,0.97725960680216
6,0.9897329763384035,0.9999417843595911,0.7147698680398145,0.9766493951928519
7,0.9768407358786186,0.9999417843596956,0.9843681234051656,0.9768755064089953
8,0.9914779790113284,0.99994178435962,0.8525826919483122,0.9774630221332672
9,0.977029852835465,0.9999417843596009,0.7999952446714141,0.9769752254919567
10,0.9880439350013516,0.9975020381322166,0.3302108533474142,0.972303668555223
11,0.9810893001211507,0.997502038130897,0.12136059336372274,0.9719861730209767
12,0.9951143996060517,0.997502038132653,0.11518775789973068,0.9725467879642085
13,0.9587117635603093,0.9975020381328056,0.11483133384703359,0.9723153050957218
14,0.9742031722064435,0.997502038128782,0.41810083711066726,0.9719400050416064
15,0.9801957833842327,0.9975020381332081,0.16838651226242218,0.9727600453126549
16,0.9568011996118813,0.9975020381322043,0.27557971536153514,0.9720799004275164
17,0.9868853463949695,0.9975020381327163,0.09048376148201653,0.9723388901667339
18,0.9725026234744462,0.9975020381330639,0.27287159699176566,0.9729988117435899
19,0.9718987724923097,0.9975020381326668,0.0539775851751183,0.972475142945249
20,0.9763759835981156,0.9926080419233579,0.20831331774061868,0.9666459925811756
21,0.9702819776293546,0.9926080419210019,0.11909729412091397,0.9663071182259212
22,0.9811202016758235,0.9926080419240264,0.2808796578347249,0.9669103955419682
23,0.9564275130073544,0.9926080419243632,0.09801506504812285,0.9666655840549334
24,0.9690535458334729,0.9926080419173372,0.09192007131843227,0.9662479590309684
25,0.9691535005498085,0.9926080419253434,0.06338208568425796,0.9671483680675287
26,0.9727114639408692,0.9926080419229323,0.09747195607017467,0.9663903160580617
27,0.9649534903363146,0.9926080419236746,0.049732146524045784,0.9666898412993467
28,0.9849804438101704,0.9926080419253863,0.05238302489848046,0.9674304821506431
29,0.9346240703963522,0.9926080419243429,0.06785207109686264,0.9668715097150437
30,0.9310474187879614,0.9839660352268117,0.05500682425424208,0.9595797409172
31,0.9695675119694488,0.983966035223058,0.042887671464189814,0.9592199329981297
32,0.9151251929162381,0.98396603522754,0.04232525820434174,0.9598640270116411
33,0.9656237304437371,0.9839660352283206,0.02493513134348202,0.9596097308500502
34,0.9074519166023213,0.9839660352177554,0.03184923670629769,0.9591456065079564
35,0.9531196062071393,0.9839660352299837,0.012250644621301543,0.9601302624409574
36,0.9428268044217264,0.9839660352256103,0.00940622352591447,0.9592866374011021
37,0.8905805433589435,0.9839660352268034,0.016989623371882923,0.9596360962621282
38,0.9040630905342391,0.9839660352306109,0.017354490939536116,0.9604656228188183
39,0.9124724244657059,0.9839660352285725,0.013442747419213585,0.9598740873485009
40,0.9157015175911309,0.9709649873167688,0.006127051451799703,0.9507438789038826
41,0.8989158480827066,0.970964987311575,0.0038097072288978406,0.9503640098799555
42,0.9175115127680082,0.9709649873172049,0.009202028759732861,0.9510440267062895
43,0.8988944098128018,0.9709649873189345,0.011159288561670366,0.950787041216543
44,0.9008241832768811,0.9709649873046805,0.03896037016755982,0.9502722926659132
45,0.9052902433469077,0.97096498732112,0.005670355953178996,0.9513427868976035
46,0.9261334467317808,0.9709649873145125,0.01957043501387734,0.9504068520035069
47,0.8683152521860921,0.9709649873162565,0.005862245219699802,0.9508174821307626
48,0.9014370464616145,0.9709649873227716,0.00325750517260881,0.9517435256520308
49,0.8722585851609225,0.9709649873195734,0.0044171375577538585,0.9511250899962028
50,0.9143192000836464,0.9532371207453681,0.003235529043071228,0.9396984852805171
51,0.8539676849583264,0.9532371207391086,0.007176243927087933,0.9392993517880363
52,0.8606798434173346,0.9532371207451967,0.005619123884000765,0.9400066878213029
53,0.8803744827443445,0.9532371207485001,0.006942519561584537,0.9397576489247493
