Iteration,CostFunction
0,0.9510040347403907
1,0.9248084220405627
2,0.9373258505526088
3,0.9911091026917361
4,0.9081027247270498
5,0.9852276256237273
6,0.7845799798570581
7,0.8651402719790756
8,0.9948965218318542
9,0.8385690606281423
10,0.4010789182529342
11,0.4179836497241054
12,0.40063126759513323
13,0.3228118422761673
14,0.4470514465815534
15,0.21533496191780888
16,0.4781687758294476
17,0.2022468800645908
18,0.36217417265433016
19,0.18329375750752452
20,0.16611108137606
21,0.23592601173493444
22,0.20700842998025282
23,0.18513004325604587
24,0.17215479877611017
25,0.26446422299952643
26,0.1658290214309981
27,0.07790879020480801
28,0.12302697753191316
29,0.09523971378148932
30,0.12241178609441983
31,0.12741899323499462
32,0.06294082381465371
33,0.08045279514479131
34,0.1121122051935669
35,0.11402016961010364
36,0.04659030670113906
37,0.06336058148634272
38,0.06053650663546317
39,0.0632252190768734
40,0.09323967268497646
41,0.05513126034866411
42,0.053808685900076036
43,0.05529071227336191
44,0.06375438605300554
45,0.06136152740802736
46,0.05332605003351387
47,0.06219332447296855
48,0.05473548834565667
49,0.0616327563469482
50,0.0642580323377393
51,0.06811392667974936
52,0.06731818031682801
53,0.06376752733484392
54,0.08301449650184023
55,0.07074238197126093
56,0.07660367137670754
57,0.0769215984286532
58,0.05427169760327244
59,0.05377555314722038
60,0.041395695494576445
61,0.05294591480641553
62,0.07297477631207605
63,0.050371820556552205
64,0.03710178647298612
65,0.07203054197315706
66,0.04600755977598914
67,0.06478583853426256
68,0.05104593384495881
69,0.07100728857722838
70,0.06221302509274451
71,0.06822684089663544
72,0.06593439926426026
73,0.05973131850250213
74,0.06345166463924323
75,0.06437479577559113
76,0.06720303800778005
77,0.07505095159705555
78,0.07630357961758871
79,0.06922908728483279
80,0.06263091858306657
81,0.06981980420999834
82,0.06323746191577995
83,0.06120560010231002
84,0.06245186075032949
85,0.06888561328537612
86,0.06969502562084251
87,0.054937716899981726
88,0.047326728610917246
89,0.05132146089240475
90,0.06905334318536083
91,0.06491265930266865
92,0.07073805693005986
93,0.06700992487461699
94,0.055438157407943
95,0.04679906271573597
