Number of qubits,Tensorized Pauli Decomposition,Sparse Pauli Operator
1,6.508827209472656e-05,0.0010650157928466797
2,0.00015306472778320312,0.0016748905181884766
3,0.000560760498046875,0.003615140914916992
4,0.002079010009765625,0.010983943939208984
5,0.006783962249755859,0.044397592544555664
6,0.025484085083007812,0.8558399677276611
7,0.14013004302978516,11.732931137084961
8,0.42709922790527344,126.151526927948
