Iteration,Nelder-Mead,L-BFGS-B,TNC,trust-constr
0,0.9908715317984508,0.9814063058811846,0.9863560989448572,0.9900710501130088
1,0.9904845053330815,0.98140630570954,0.9863560987128216,0.9900710498782452
2,0.9910478997562315,0.9814063061253779,0.9863560990348607,0.9900710502936955
3,0.990957989753473,0.9814063059935444,0.9863560989901193,0.9900710501751628
4,0.9907174749183084,0.9814063057152388,0.9863560987844905,0.9900710499431515
5,0.9913415160881492,0.9814063062151187,0.9863560991082073,0.9900710503063473
6,0.990842596085466,0.9814063059188102,0.9863560989247464,0.9900710501602905
7,0.9910097168109832,0.9814063058550575,0.9863560990238653,0.9900710500828368
8,0.9910678671926791,0.9814063061656403,0.9863560991505137,0.9900710502861839
9,0.9908738387519307,0.9814063059704865,0.986356098981474,0.9900710501279152
10,0.9903931656816357,0.8418752791050336,0.9863560988983378,0.9891877370909562
11,0.9898940245039833,0.8418752788639667,0.9863560986663025,0.9891877368486621
12,0.9904197294856814,0.8418752796777339,0.9863560989883413,0.9891877372816436
13,0.9902961876301698,0.8418752796837888,0.9863560989436002,0.9891877371546572
14,0.9901754770105972,0.8418752785942392,0.9863560987379713,0.9891877369158626
15,0.990053777381149,0.8418752801802108,0.9863560990616882,0.989187737296727
16,0.9899501158544008,0.8418752788671962,0.9863560988782272,0.9891877371359253
17,0.9897412104942308,0.8418752786884007,0.9863560989773461,0.9891877370563312
18,0.9891412680021555,0.8418752804162197,0.9863560991039944,0.9891877372795688
19,0.9893902170093536,0.8418752808833397,0.9863560989349547,0.9891877371197085
20,0.9892147774936778,0.9997244673701864,0.9863560651012184,0.9730148059114341
21,0.9891739913425277,0.9997244674611911,0.9863560648691829,0.9730148055919392
22,0.9889630978344979,0.9997244673751118,0.9863560651912222,0.9730148062628833
23,0.9881937153571496,0.9997244672898175,0.9863560651464809,0.9730148058069741
24,0.9886157318757153,0.9997244673004292,0.9863560649408517,0.9730148056898211
25,0.9883658925186952,0.9997244674266571,0.9863560652645693,0.9730148055033877
26,0.9881070835389882,0.9997244673783857,0.9863560650811075,0.9730148058899467
27,0.9870332500282701,0.999724467276009,0.9863560651802269,0.9730148058161379
28,0.9875663792243043,0.9997244674027238,0.9863560653068759,0.9730148063648832
29,0.9870714683982573,0.9997244674292166,0.9863560651378358,0.9730148062738211
30,0.9871063372568027,0.6825902840359401,0.9855866767438581,0.8778117979904716
31,0.9868023160550509,0.6825902825821757,0.9855866765051494,0.8778117974665786
32,0.9854761127854967,0.6825902825477029,0.985586676836963,0.8778117970591164
33,0.986003398220108,0.6825902842011466,0.9855866767904492,0.877811797447837
34,0.9852608307029946,0.6825902824149044,0.9855866765782597,0.8778117975894328
35,0.9830304812791518,0.6825902833146564,0.9855866769138787,0.8778117967055845
36,0.9845670164650714,0.6825902826967338,0.9855866767198223,0.877811797651247
37,0.9839756677885511,0.6825902824579746,0.9855866768242376,0.8778117977180528
38,0.983103136877838,0.6825902842146665,0.985586676961143,0.8778117963374543
39,0.9828078114811437,0.6825902883097104,0.9855866767866464,0.8778118003143615
40,0.9800375762970801,0.6762344008263269,0.9812693203305773,0.652492099750516
41,0.9817335281857409,0.6762343990011354,0.9812693200580825,0.652492097851743
42,0.9804028251223087,0.6762343990088117,0.9812693204404345,0.6524921025883272
43,0.9788415477727196,0.6762344008463024,0.9812693203851317,0.6524921016898576
44,0.9738981305153197,0.6762343991769583,0.9812693201385396,0.6524920998801326
45,0.9771972968826335,0.6762343996053495,0.9812693205367382,0.6524921065815938
46,0.9758218444891439,0.6762343993644829,0.9812693202833921,0.652492101637536
47,0.9748682915726726,0.6762343993051358,0.9812693204185573,0.6524921003305821
48,0.9732474267600373,0.6762344006315586,0.9812693206125473,0.6524921064453801
49,0.966559188110312,0.6762344053410007,0.9812693204103234,0.6524921030588993
50,0.9706372304357206,0.9918344235028831,0.5882641626037548,0.3117602231983966
51,0.9672834679121474,0.9918344240431608,0.5882641622889001,0.3117602235888266
52,0.9654982391973319,0.9918344234772113,0.5882641621986746,0.31176022275094184
53,0.955470428883833,0.9918344230681777,0.5882641640411985,0.3117602217941885
54,0.9612839763040315,0.9918344230978517,0.5882641625342515,0.31176022224501354
55,0.9567791462894317,0.9918344237426753,0.5882641625150855,0.3117602160876367
56,0.9557853576612565,0.9918344235219926,0.5882641600850135,0.3117602215541372
57,0.9526732820034485,0.9918344230106674,0.5882641621786517,0.3117602220965744
58,0.9393084396210781,0.9918344235853732,0.588264165556267,0.31176021592088954
59,0.9450786451623134,0.9918344239424204,0.5882641671979624,0.3117602193993393
60,0.9384471541743823,0.6718925692724267,0.953507923484261,0.5141487322142815
61,0.9176964585865102,0.6718925670194151,0.9535079222597543,0.5141487460987795
62,0.9308773487263545,0.6718925671670819,0.9535079228887052,0.5141487334135586
63,0.9269849620700882,0.6718925691413853,0.9535079231643006,0.5141487333990908
64,0.9203761644487654,0.6718925677658638,0.9535079241503996,0.514148736355595
65,0.9162091704104154,0.6718925674497656,0.9535079240803401,0.5141487353693305
66,0.900731813296531,0.6718925677243033,0.9535079238072147,0.5141487338646102
67,0.9091747285151388,0.6718925680313188,0.9535079240548308,0.5141487353079428
68,0.9030807837414807,0.6718925686395192,0.9535079226510688,0.5141487355309053
69,0.8960852765371506,0.6718925739438146,0.9535079237278965,0.5141487311807997
70,0.9067196719920515,0.572167221712429,0.8136303440259831,0.3342203835414701
71,0.8972603966550246,0.5721672191138948,0.8136303435110104,0.33422038098218865
72,0.894411831760182,0.5721672192981998,0.8136303445906405,0.3342203857748889
73,0.9104331427628921,0.57216722135244,0.8136303454636697,0.3342203854112301
74,0.9000659510937501,0.5721672202266099,0.8136303422118485,0.3342203816139827
75,0.9032728208567844,0.5721672194915602,0.8136303435664863,0.3342203900695183
76,0.9011204254385273,0.5721672199612373,0.8136303458965781,0.33422038631961415
77,0.9259503073262998,0.5721672205069277,0.8136303413738986,0.33422038192817705
78,0.9019767407349242,0.5721672211848787,0.8136303425066727,0.3342203915108396
79,0.9048965071979796,0.5721672269650988,0.8136303465802361,0.33422039047073904
80,0.8977790115480982,0.291942733662913,0.8250326352949872,0.03426480900428308
81,0.901954211478204,0.291942733108848,0.82503263674177,0.03426480748535232
82,0.8949398709487673,0.29194273195075027,0.8250326368947632,0.034264810281516955
83,0.9073377570326697,0.2919427318926313,0.8250326362185983,0.034264809444860544
84,0.8965228550317097,0.2919427361625184,0.8250326378321297,0.03426480758110906
85,0.9087831795506018,0.29194272866576887,0.8250326352763768,0.03426480836978352
86,0.8963883114178745,0.29194273354790745,0.825032635174977,0.034264810028809545
87,0.9056813685578248,0.29194273663640036,0.8250326354300314,0.03426480772748519
88,0.8962964397873754,0.29194273175725005,0.8250326347727593,0.03426480899289153
89,0.8985548162722479,0.2919427358754568,0.8250326364224609,0.03426481253325553
90,0.8910366812791645,0.34093631606851316,0.4732052897381931,0.40442583047570446
91,0.8889661663205549,0.34093631930553425,0.4732052921236959,0.40442583450000213
92,0.9006619717233355,0.34093631611927455,0.4732052917116888,0.40442583343195204
93,0.8947964464591365,0.34093631471016683,0.47320529236048303,0.4044258295882962
