Iteration,COBYLA,SLSQP,BFGS,L-BFGS-B,trust-constr
0,0.9966587727770702,0.9699620676361214,0.9415766428026877,0.9638288588907571,0.9613815807336524
1,0.9341826410090573,0.9699620668422535,0.9415766420769482,0.9638288585316973,0.961381579822675
2,0.9611642155503529,0.9699620676435838,0.9415766433250154,0.9638288594133746,0.9613815805861166
3,0.9636011907752965,0.9699620677910442,0.9415766435537074,0.9638288590853785,0.9613815810788228
4,0.8891581858112843,0.9699620668462862,0.9415766418377057,0.9638288581590724,0.9613815790503606
5,0.9552549299195319,0.9699620684065445,0.9415766442507187,0.9638288596024875,0.9613815812688511
6,0.8138000298389285,0.9699620672178085,0.9415766426491322,0.9638288589197345,0.9613815802188137
7,0.9562965799973451,0.9699620679911012,0.9415766429472183,0.9638288590598917,0.9613815812239754
8,0.9978285596883602,0.9699620684266996,0.9415766443409516,0.9638288595952899,0.9613815815216333
9,0.881222776022412,0.9699620681829753,0.9415766436470342,0.9638288592785995,0.961381581509751
10,0.4210859419458163,0.9539220946194474,0.9033831825106318,0.7514463998692583,0.9315062612300157
11,0.10199512951607692,0.9539220936727828,0.9033831817006182,0.7514463994561172,0.9315062602181741
12,0.37276976300349296,0.9539220946462319,0.9033831830246848,0.7514463995696437,0.9315062609620934
13,0.2241588608088937,0.9539220947597007,0.9033831834442094,0.7514464002636395,0.931506261565513
14,0.3567888082010896,0.9539220936951897,0.9033831814293913,0.7514463985173692,0.9315062593238523
15,0.17319050879783482,0.9539220956245867,0.903383184193842,0.7514464005172623,0.9315062618867755
16,0.298094468614287,0.9539220940255946,0.9033831822221573,0.7514463993580414,0.9315062604179561
17,0.06444816278661425,0.9539220951168522,0.9033831826498141,0.751446399308479,0.9315062604415577
18,0.30711099651012563,0.9539220957483537,0.9033831845382193,0.7514464014081823,0.931506259925994
19,0.12605416925793334,0.9539220954181689,0.9033831838595252,0.7514464023725641,0.9315062623993466
20,0.08269126175587138,0.7365559871445373,0.695985806769016,0.9047008079797296,0.8033633782180741
21,0.08421883610620629,0.7365559859830293,0.6959858051635293,0.904700809184164,0.8033633771853715
22,0.40402529825113864,0.7365559861853216,0.6959858061680597,0.9047008097922111,0.8033633772290381
23,0.14132359918552473,0.736555986827362,0.6959858078474392,0.9047008076342052,0.8033633781991404
24,0.06442839727409255,0.7365559860281156,0.6959858048988545,0.9047008062137858,0.8033633761659238
25,0.1369350736248549,0.7365559886755111,0.6959858080870149,0.9047008098382702,0.8033633776102511
26,0.11979342482649336,0.736555985263827,0.6959858057095959,0.9047008075988121,0.8033633764367312
27,0.04223173040395034,0.7365559889691329,0.6959858057983893,0.9047008065300135,0.8033633764762333
28,0.06289372385582537,0.736555990701061,0.6959858097400156,0.9047008097380655,0.8033633752754759
29,0.0446515850359821,0.7365559906924171,0.6959858104655647,0.9047008082260597,0.8033633806240645
30,0.04760386838049524,0.8232382608435057,0.7988205404566011,0.5898547405560999,0.43910111971370713
31,0.05007740996055221,0.9613606702842408,0.798820539236838,0.5898547393855346,0.43910111761668946
32,0.05073587949679392,0.41167732856585626,0.7988205392369829,0.5898547392786089,0.4391011170476481
33,0.05782743724313144,0.41167732822128533,0.7988205400540749,0.5898547411499094,0.4391011188677255
34,0.050596990590428215,0.41167733280910557,0.7988205426123791,0.5898547383294681,0.43910111689387044
35,0.02232023987571541,0.411677327170754,0.7988205349854384,0.589854740689678,0.43910111976685884
36,0.032553016478554686,0.41167732565636594,0.7988205415825214,0.5898547397613543,0.4391011172750414
37,0.028287382811191253,0.41167732096721166,0.7988205423974131,0.5898547386720585,0.43910111734067725
38,0.04380664542960555,0.4116773309208571,0.7988205358729141,0.589854742039357,0.4391011154762984
39,0.03166552307893422,0.41167732636386467,0.798820539343385,0.5898547443803247,0.43910111672075225
40,0.02321643834029896,0.4116773236225524,0.26294423949572576,0.4766536614302832,0.13659363033646077
41,0.015822190959666416,0.4116773266683925,0.2629442342131081,0.47665365941912496,0.13659362616150872
42,0.014160336431587317,0.1489466673209301,0.262944238240554,0.47665365936445203,0.13659363213244535
43,0.017768216774455836,0.14894666568357906,0.26294423878056195,0.47665366226366956,0.13659363068253272
44,0.012792934991857297,0.14894666532878176,0.26294423532094535,0.4766536588554027,0.1365936267969191
45,0.022469431041740706,0.14894666578519744,0.2629442370948395,0.47665366079544313,0.1365936304812878
46,0.011077553018763786,0.14894666523427924,0.26294423929649924,0.47665366062449566,0.13659363256280477
47,0.012742876477158105,0.14894666682460667,0.26294423482594,0.476653658905981,0.13659363115836864
48,0.011779730573670766,0.1489466662408102,0.2629442398659232,0.47665366232477746,0.13659363177076378
49,0.011540453090216563,0.14894666646022436,0.26294424357930335,0.47665366576520973,0.13659363357995868
50,0.010089102090962476,0.1489466706985796,0.9873538864547123,0.7788416809337397,0.08691539978308227
51,0.010014938963475273,0.14894667094823022,0.9873538866964324,0.7788416796286461,0.0869154034975752
52,0.011832049955350254,0.030964003823376718,0.987353886259742,0.7788416776859709,0.0869154023347859
53,0.010721826481886132,0.03096400422976986,0.9873538859242127,0.7788416818241299,0.08691539958534178
54,0.008177687429043123,0.030964004909942,0.9873538857452909,0.7788416831726979,0.08691540513053253
55,0.008738798395386382,0.030964003661810624,0.9873538865727902,0.7788416767270808,0.08691539824957595
56,0.008679558456101466,0.030964004318829397,0.9873538870415595,0.7788416812049128,0.0869153996916967
57,0.009786929272934786,0.030964002653145806,0.9873538876006334,0.7788416829040479,0.08691539809409565
58,0.007565898988108333,0.030964005016781426,0.9873538861411801,0.7788416773095149,0.08691539959854888
59,0.0063268190858351,0.03096400450780079,0.9873538869975158,0.7788416820915012,0.08691539883969956
60,0.007062472827233601,0.03096400424501211,0.6025441101067822,0.4290170452241069,0.023344984859066886
61,0.006380147221869192,0.030964003791675743,0.6025441085597459,0.4290170426968152,0.02334498491898429
62,0.004825831823732085,0.015789549131290825,0.6025441086949275,0.4290170425587534,0.02334498446243627
63,0.005333100547551428,0.015789549157061544,0.602544109354205,0.42901704622755577,0.023344983637539007
64,0.005514542805405642,0.01578954969138291,0.6025441123386734,0.42901704304972554,0.023344983880041248
65,0.004153494882716324,0.015789548968111133,0.602544102851264,0.42901704361523907,0.023344984828555182
66,0.004998420004591719,0.015789549262022695,0.6025441116833722,0.4290170445590079,0.023344983860424273
67,0.0038464081877582768,0.01578954864422699,0.6025441121930601,0.42901704293529286,0.023344985529360485
68,0.0042945536386822525,0.01578954971773905,0.6025441041164934,0.429017045143113,0.023344983898224814
69,0.004325882786275326,0.015789549425629712,0.6025441088519217,0.4290170494029891,0.023344983765941518
70,0.004295631213093731,0.015789549758785326,0.24147053887862713,0.6561546650058447,0.012430191407254987
71,0.004839197729891942,0.01578954929571208,0.24147053371740257,0.6561546670786467,0.012430191142838498
72,0.0037747942100325726,0.0036514404768460684,0.24147053778635852,0.6561546614989087,0.012430192372488658
73,0.0038952297994772067,0.0036514402655184464,0.24147053786374328,0.6561546633097061,0.012430191295643489
74,0.00391663473083137,0.0036514406957210976,0.24147053536310148,0.6561546654148799,0.012430191408633218
75,0.004410585042809001,0.003651440462915656,0.24147053529937346,0.6561546684171604,0.012430191445792493
76,0.00389738175362353,0.0036514403012866126,0.2414705392235008,0.656154666131937,0.012430191820349878
77,0.003487641135691888,0.0036514404007063073,0.24147053481195924,0.656154663613242,0.01243019132294998
78,0.002947264438474928,0.0036514405571030917,0.2414705379184724,0.6561546644164505,0.012430191785759215
