Number of qubits,Tensorized Pauli Decomposition,Sparse Pauli Operator
1,5.364418029785156e-05,0.0008502006530761719
2,0.0001239776611328125,0.0018007755279541016
3,0.00047016143798828125,0.0038242340087890625
4,0.002597808837890625,0.012564420700073242
5,0.008210897445678711,0.054448843002319336
6,0.024857044219970703,0.6813287734985352
7,0.12854599952697754,7.133580923080444
8,0.4476501941680908,177.86409664154053
