Iteration,CostFunction
0,0.9985849211944515
1,0.9731873107449035
2,0.9848286593660105
3,0.9985158537620117
4,0.9241260697992622
5,0.9813746985993497
6,0.8134522532780071
7,0.975533506492256
8,0.9906555376197974
9,0.8740585228187167
10,0.415755660872397
11,0.14316790858435158
12,0.32428783128450067
13,0.08227267456890752
14,0.3556235845547727
15,0.14111305603944302
16,0.07823975634433655
17,0.10490819521055628
18,0.3221669906583322
19,0.137045154814459
20,0.3299039981665536
21,0.4267541392117823
22,0.09727007812578348
23,0.08323902812431161
24,0.030305680981984495
25,0.03718810750304069
26,0.12659097420781906
27,0.05688941361240063
28,0.060061733172838916
29,0.052711532831524854
30,0.14758807818846864
31,0.02812086616087206
32,0.019580451491790773
33,0.0326654511356963
34,0.02987788384204315
35,0.061547658807279526
36,0.01251175819835415
37,0.014286509412723025
38,0.02642209689862518
39,0.02680050475164608
40,0.02930769580635595
41,0.012995225730920712
42,0.009183521832926811
43,0.02132783579404629
44,0.01966459808163845
45,0.009364959542495166
46,0.021196216033616433
47,0.010149445774554566
48,0.016696881169402933
49,0.01780510987398598
50,0.02704987298904371
51,0.021850088395489853
52,0.013370521072194275
53,0.02558013952231264
54,0.01753202764802475
55,0.007334275339867302
56,0.017579918733463318
57,0.015572501583157927
58,0.01550282176649187
59,0.009730354265131691
60,0.019441049784188147
61,0.01992299130845665
62,0.0065809739656294
63,0.01954263994589578
64,0.017752693765782035
65,0.01717656803646317
66,0.022785317978246233
67,0.020036279148752945
68,0.024118225000190785
69,0.020157485594229585
70,0.01410267805076848
71,-0.0021230832494025798
72,0.013860594635465073
73,0.021393857820166118
74,0.011903249533111615
75,0.008725720809094284
76,0.015265552784058944
77,0.021417635011339975
78,0.011996606354374051
79,0.017153422792947404
80,0.021705659835955293
81,0.009626934142271226
82,0.01591258888803182
83,0.010413708128180432
84,0.008204275345203849
85,0.01867355156436501
86,0.01975039587311933
87,0.013470437815611858
88,0.006681545654866117
89,0.007120798738751932
90,0.01393348551177176
91,0.01541501198312678
92,0.0296082138877396
93,0.0169877554857214
94,0.01701845094904464
95,0.02074986625858588
96,0.01799810526382839
97,0.02062080909616082
98,0.02574277326342367
99,0.023517548586871162
100,0.02147839490400827
101,0.027059678519977703
102,0.01385535648473113
103,0.011286245500126357
104,-2.6510002728574733e-05
